query_id	m	theta	hl	segm	gt_l_bucket	gt_r_bucket	gt_J_l	gt_J_r	gt_C_l	gt_C_r	gt_C_l_lmax	gt_C_r_lmax	#J>theta	#C>theta	J>theta	C>theta
S1_2107!NC_060948.1!2479836!2488795!+	433	0.75	577	NC_060948.1	212	213	0.558317	0.616698	0.676674	0.750577	0.676674	0.750577	0	1	{}	{(NC_060948.1,213),}
S1_4111!NC_060948.1!4626571!4635657!+	444	0.75	592	NC_060948.1	388	389	0.428	0.646182	0.481982	0.783784	0.481982	0.783784	0	1	{}	{(NC_060948.1,389),}
S1_1482!NC_060948.1!40640067!40655552!-	813	0.75	1084	NC_060948.1	1873	1874	0.634826	0.670744	0.799508	0.809348	0.799508	0.809348	0	16	{}	{(NC_060948.1,1874),(NC_060948.1,1873),(NC_060948.1,2117),(NC_060948.1,2118),(NC_060948.1,2472),(NC_060948.1,2471),(NC_060948.1,2396),(NC_060948.1,2397),(NC_060948.1,2473),(NC_060948.1,2398),(NC_060948.1,2395),(NC_060948.1,2606),(NC_060948.1,2605),(NC_060948.1,2546),(NC_060948.1,2361),(NC_060948.1,2434),}
S1_4489!NC_060948.1!18063856!18073375!+	447	0.75	596	NC_060948.1	1503	1504	0.673469	0.673469	0.812081	0.812081	0.812081	0.812081	0	2	{}	{(NC_060948.1,1504),(NC_060948.1,1503),}
S1_4556!NC_060948.1!52333420!52342890!-	508	0.75	677	NC_060948.1	3859	3860	0.641441	0.686341	0.785433	0.801181	0.779528	0.801181	0	84	{}	{(NC_060948.1,3860),(NC_060948.1,3976),(NC_060948.1,3975),(NC_060948.1,3859),(NC_060948.1,3250),(NC_060948.1,2866),(NC_060948.1,4110),(NC_060948.1,2676),(NC_060948.1,3252),(NC_060948.1,2842),(NC_060948.1,2315),(NC_060948.1,3691),(NC_060948.1,4477),(NC_060948.1,4473),(NC_060948.1,4113),(NC_060948.1,3253),(NC_060948.1,2867),(NC_060948.1,2677),(NC_060948.1,4112),(NC_060948.1,4111),(NC_060948.1,3322),(NC_060948.1,3323),(NC_060948.1,2747),(NC_060948.1,2746),(NC_060948.1,2841),(NC_060948.1,2314),(NC_060948.1,3223),(NC_060948.1,3224),(NC_060948.1,4109),(NC_060948.1,2650),(NC_060948.1,2710),(NC_060948.1,3861),(NC_060948.1,2486),(NC_060948.1,2649),(NC_060948.1,4478),(NC_060948.1,3284),(NC_060948.1,2902),(NC_060948.1,3693),(NC_060948.1,2487),(NC_060948.1,2709),(NC_060948.1,3251),(NC_060948.1,2903),(NC_060948.1,2901),(NC_060948.1,2675),(NC_060948.1,2935),(NC_060948.1,2865),(NC_060948.1,2481),(NC_060948.1,3283),(NC_060948.1,3692),(NC_060948.1,2674),(NC_060948.1,3565),(NC_060948.1,3566),(NC_060948.1,2900),(NC_060948.1,2447),(NC_060948.1,3868),(NC_060948.1,3983),(NC_060948.1,3980),(NC_060948.1,2712),(NC_060948.1,2480),(NC_060948.1,3286),(NC_060948.1,4115),(NC_060948.1,4387),(NC_060948.1,2708),(NC_060948.1,4116),(NC_060948.1,2482),(NC_060948.1,4248),(NC_060948.1,3981),(NC_060948.1,2868),(NC_060948.1,3558),(NC_060948.1,3559),(NC_060948.1,2711),(NC_060948.1,3285),(NC_060948.1,2864),(NC_060948.1,2651),(NC_060948.1,2678),(NC_060948.1,2843),(NC_060948.1,3225),(NC_060948.1,3696),(NC_060948.1,3695),(NC_060948.1,2448),(NC_060948.1,3611),(NC_060948.1,3694),(NC_060948.1,2713),(NC_060948.1,3287),}
S1_2253!NC_060948.1!9147442!9156142!+	443	0.75	590	NC_060948.1	772	773	0.561279	0.667939	0.735892	0.790068	0.717833	0.790068	0	9	{}	{(NC_060948.1,773),(NC_060948.1,782),(NC_060948.1,781),(NC_060948.1,790),(NC_060948.1,791),(NC_060948.1,774),(NC_060948.1,761),(NC_060948.1,762),(NC_060948.1,784),}
S1_723!NC_060948.1!40761522!40774872!+	595	0.75	793	NC_060948.1	2568	2569	0.541775	0.60929	0.729412	0.74958	0.721008	0.74958	0	0	{}	{}
S1_2262!NC_060948.1!26042146!26051691!-	447	0.75	596	NC_060948.1	2170	2171	0.628159	0.628159	0.778523	0.778523	0.778523	0.778523	0	5	{}	{(NC_060948.1,2171),(NC_060948.1,2170),(NC_060948.1,1968),(NC_060948.1,2035),(NC_060948.1,2034),}
S1_759!NC_060948.1!45287775!45296608!+	419	0.75	558	NC_060948.1	4055	4056	0.62253	0.62253	0.754177	0.75179	0.75179	0.75179	0	2	{}	{(NC_060948.1,4056),(NC_060948.1,4055),}
S1_3172!NC_060948.1!35673277!35687905!-	702	0.75	936	NC_060948.1	1899	1900	0.642308	0.657957	0.754986	0.790598	0.754986	0.790598	0	15	{}	{(NC_060948.1,1900),(NC_060948.1,1926),(NC_060948.1,1925),(NC_060948.1,2064),(NC_060948.1,2063),(NC_060948.1,2340),(NC_060948.1,2315),(NC_060948.1,2314),(NC_060948.1,2341),(NC_060948.1,2339),(NC_060948.1,1899),(NC_060948.1,1946),(NC_060948.1,2361),(NC_060948.1,2362),(NC_060948.1,2085),}
S1_4839!NC_060948.1!3366123!3373852!+	376	0.75	501	NC_060948.1	332	333	0.114883	0.671141	0.119681	0.797872	0.119681	0.797872	0	1	{}	{(NC_060948.1,333),}
S1_1200!NC_060948.1!16615549!16623602!-	417	0.75	556	NC_060948.1	1482	1483	0.646943	0.646943	0.791367	0.791367	0.791367	0.791367	0	2	{}	{(NC_060948.1,1483),(NC_060948.1,1482),}
S1_2671!NC_060948.1!19717795!19727833!+	524	0.75	698	NC_060948.1	1402	1403	0.613924	0.613924	0.742366	0.742366	0.742366	0.742366	0	0	{}	{}
S1_5235!NC_060948.1!9785087!9791831!+	335	0.75	446	NC_060948.1	1093	1094	0.376289	0.639506	0.474627	0.773134	0.435821	0.773134	0	1	{}	{(NC_060948.1,1094),}
S1_1111!NC_060948.1!33444638!33460229!+	752	0.75	1002	NC_060948.1	1665	1666	0.668177	0.668177	0.784574	0.784574	0.784574	0.784574	0	6	{}	{(NC_060948.1,1665),(NC_060948.1,1666),(NC_060948.1,1643),(NC_060948.1,1644),(NC_060948.1,1901),(NC_060948.1,1902),}
S1_5064!NC_060948.1!30736747!30745810!-	532	0.75	709	NC_060948.1	2159	2160	0.645933	0.645933	0.763158	0.763158	0.761278	0.761278	0	3	{}	{(NC_060948.1,2160),(NC_060948.1,2159),(NC_060948.1,2119),}
S1_4247!NC_060948.1!42620955!42628200!+	327	0.75	436	NC_060948.1	4887	4888	0.615578	0.615578	0.755352	0.755352	0.755352	0.749235	0	2	{}	{(NC_060948.1,4888),(NC_060948.1,4887),}
S1_2077!NC_060948.1!10649423!10660474!+	488	0.75	650	NC_060948.1	815	816	0.574879	0.574879	0.733607	0.733607	0.733607	0.733607	0	0	{}	{}
S1_3400!NC_060948.1!26779036!26787080!-	384	0.75	512	NC_060948.1	2598	2599	0.580574	0.633475	0.684896	0.778646	0.684896	0.778646	0	3	{}	{(NC_060948.1,2599),(NC_060948.1,2441),(NC_060948.1,2440),}
S1_819!NC_060948.1!13244406!13252963!+	433	0.75	577	NC_060948.1	1136	1137	0.589844	0.670565	0.699769	0.794457	0.699769	0.794457	0	1	{}	{(NC_060948.1,1137),}
S1_4728!NC_060948.1!296860!307316!-	524	0.75	698	NC_060948.1	19	20	0.105839	0.627608	0.116412	0.75	0.114504	0.75	0	1	{}	{(NC_060948.1,20),}
S1_538!NC_060948.1!50803266!50817256!-	696	0.75	928	NC_060948.1	2732	2733	0.65375	0.676396	0.78592	0.787356	0.78592	0.78592	0	2	{}	{(NC_060948.1,2733),(NC_060948.1,2732),}
S1_368!NC_060948.1!34387236!34395638!-	439	0.75	585	NC_060948.1	2937	2938	0.662857	0.662857	0.792711	0.792711	0.792711	0.792711	0	53	{}	{(NC_060948.1,2938),(NC_060948.1,2937),(NC_060948.1,2918),(NC_060948.1,2917),(NC_060948.1,2928),(NC_060948.1,2927),(NC_060948.1,3239),(NC_060948.1,2925),(NC_060948.1,2915),(NC_060948.1,2935),(NC_060948.1,2788),(NC_060948.1,3234),(NC_060948.1,2792),(NC_060948.1,2919),(NC_060948.1,2793),(NC_060948.1,2906),(NC_060948.1,2905),(NC_060948.1,2907),(NC_060948.1,2916),(NC_060948.1,3623),(NC_060948.1,2791),(NC_060948.1,2790),(NC_060948.1,2789),(NC_060948.1,2778),(NC_060948.1,2777),(NC_060948.1,2775),(NC_060948.1,2776),(NC_060948.1,3624),(NC_060948.1,3625),(NC_060948.1,4064),(NC_060948.1,4063),(NC_060948.1,2926),(NC_060948.1,3622),(NC_060948.1,3621),(NC_060948.1,3620),(NC_060948.1,3238),(NC_060948.1,3237),(NC_060948.1,3236),(NC_060948.1,3235),(NC_060948.1,3224),(NC_060948.1,3223),(NC_060948.1,3222),(NC_060948.1,3221),(NC_060948.1,2940),(NC_060948.1,2939),(NC_060948.1,2920),(NC_060948.1,2929),(NC_060948.1,2936),(NC_060948.1,4065),(NC_060948.1,2740),(NC_060948.1,2741),(NC_060948.1,4487),(NC_060948.1,4620),}
S1_710!NC_060948.1!12973713!12986854!-	687	0.75	916	NC_060948.1	700	701	0.33089	0.711418	0.461426	0.828239	0.459971	0.828239	0	1	{}	{(NC_060948.1,701),}
S1_4400!NC_060948.1!36082546!36090444!-	395	0.75	526	NC_060948.1	3421	3422	0.530333	0.631799	0.734177	0.767089	0.713924	0.767089	0	5	{}	{(NC_060948.1,3422),(NC_060948.1,3668),(NC_060948.1,4158),(NC_060948.1,4196),(NC_060948.1,3704),}
S1_6204!NC_060948.1!42707828!42719424!-	566	0.75	754	NC_060948.1	2830	2831	0.381013	0.615051	0.572438	0.750883	0.54947	0.750883	0	1	{}	{(NC_060948.1,2831),}
S1_4283!NC_060948.1!53419320!53428752!+	478	0.75	637	NC_060948.1	4189	4190	0.697391	0.697391	0.838912	0.838912	0.838912	0.838912	0	129	{}	{(NC_060948.1,4063),(NC_060948.1,4062),(NC_060948.1,4190),(NC_060948.1,4189),(NC_060948.1,4191),(NC_060948.1,4064),(NC_060948.1,4065),(NC_060948.1,4192),(NC_060948.1,4193),(NC_060948.1,3582),(NC_060948.1,4425),(NC_060948.1,3581),(NC_060948.1,3172),(NC_060948.1,3590),(NC_060948.1,3589),(NC_060948.1,3173),(NC_060948.1,3165),(NC_060948.1,4061),(NC_060948.1,3166),(NC_060948.1,3167),(NC_060948.1,3583),(NC_060948.1,3584),(NC_060948.1,3591),(NC_060948.1,3174),(NC_060948.1,4066),(NC_060948.1,4426),(NC_060948.1,4194),(NC_060948.1,3164),(NC_060948.1,4067),(NC_060948.1,4424),(NC_060948.1,4430),(NC_060948.1,3995),(NC_060948.1,3994),(NC_060948.1,4429),(NC_060948.1,2376),(NC_060948.1,2337),(NC_060948.1,2375),(NC_060948.1,2381),(NC_060948.1,4195),(NC_060948.1,3184),(NC_060948.1,3183),(NC_060948.1,4432),(NC_060948.1,4431),(NC_060948.1,4203),(NC_060948.1,4204),(NC_060948.1,4075),(NC_060948.1,4076),(NC_060948.1,3598),(NC_060948.1,3599),(NC_060948.1,4074),(NC_060948.1,2336),(NC_060948.1,2380),(NC_060948.1,2397),(NC_060948.1,2398),(NC_060948.1,2354),(NC_060948.1,2352),(NC_060948.1,2353),(NC_060948.1,2654),(NC_060948.1,4202),(NC_060948.1,3580),(NC_060948.1,4073),(NC_060948.1,3722),(NC_060948.1,2543),(NC_060948.1,3692),(NC_060948.1,3284),(NC_060948.1,3283),(NC_060948.1,3597),(NC_060948.1,3314),(NC_060948.1,3315),(NC_060948.1,3693),(NC_060948.1,3992),(NC_060948.1,3313),(NC_060948.1,4311),(NC_060948.1,3721),(NC_060948.1,4310),(NC_060948.1,2399),(NC_060948.1,4200),(NC_060948.1,2671),(NC_060948.1,2672),(NC_060948.1,3993),(NC_060948.1,3991),(NC_060948.1,3694),(NC_060948.1,4308),(NC_060948.1,4307),(NC_060948.1,4309),(NC_060948.1,2332),(NC_060948.1,2331),(NC_060948.1,3175),(NC_060948.1,2377),(NC_060948.1,4188),(NC_060948.1,4199),(NC_060948.1,2542),(NC_060948.1,3691),(NC_060948.1,3687),(NC_060948.1,3689),(NC_060948.1,3312),(NC_060948.1,2539),(NC_060948.1,2538),(NC_060948.1,3278),(NC_060948.1,3690),(NC_060948.1,3281),(NC_060948.1,3279),(NC_060948.1,3280),(NC_060948.1,3277),(NC_060948.1,2651),(NC_060948.1,2652),(NC_060948.1,2540),(NC_060948.1,2372),(NC_060948.1,2544),(NC_060948.1,3720),(NC_060948.1,3686),(NC_060948.1,2656),(NC_060948.1,2657),(NC_060948.1,3719),(NC_060948.1,4798),(NC_060948.1,2655),(NC_060948.1,4799),(NC_060948.1,3725),(NC_060948.1,2660),(NC_060948.1,2658),(NC_060948.1,2673),(NC_060948.1,2661),(NC_060948.1,2555),(NC_060948.1,2553),(NC_060948.1,2554),(NC_060948.1,2962),(NC_060948.1,2964),(NC_060948.1,2659),(NC_060948.1,3317),}
S1_3573!NC_060948.1!28332765!28341470!+	438	0.75	584	NC_060948.1	2409	2410	0.613139	0.613139	0.769406	0.769406	0.769406	0.769406	0	2	{}	{(NC_060948.1,2410),(NC_060948.1,2409),}
S1_4115!NC_060948.1!19929672!19943330!+	699	0.75	932	NC_060948.1	1061	1062	0.611374	0.611374	0.738197	0.738197	0.738197	0.738197	0	0	{}	{}
S1_1992!NC_060948.1!55000024!55012195!-	625	0.75	833	NC_060948.1	3297	3298	0.660526	0.660526	0.8032	0.8032	0.8032	0.8032	0	7	{}	{(NC_060948.1,3297),(NC_060948.1,3298),(NC_060948.1,3209),(NC_060948.1,2747),(NC_060948.1,2422),(NC_060948.1,3208),(NC_060948.1,2741),}
S1_2828!NC_060948.1!25675477!25683610!-	412	0.75	549	NC_060948.1	2322	2323	0.524954	0.608365	0.691748	0.779126	0.691748	0.779126	0	4	{}	{(NC_060948.1,2323),(NC_060948.1,2316),(NC_060948.1,2170),(NC_060948.1,2169),}
S1_4581!NC_060948.1!17837794!17847159!+	441	0.75	588	NC_060948.1	1505	1506	0.665399	0.665399	0.793651	0.793651	0.793651	0.793651	0	2	{}	{(NC_060948.1,1506),(NC_060948.1,1505),}
S1_52!NC_060948.1!47103472!47113852!-	532	0.75	709	NC_060948.1	3318	3319	0.651235	0.651235	0.795113	0.793233	0.793233	0.793233	0	11	{}	{(NC_060948.1,3318),(NC_060948.1,3319),(NC_060948.1,2950),(NC_060948.1,2951),(NC_060948.1,3321),(NC_060948.1,3344),(NC_060948.1,3345),(NC_060948.1,2953),(NC_060948.1,2979),(NC_060948.1,2978),(NC_060948.1,2949),}
S1_6069!NC_060948.1!49720033!49729102!+	444	0.75	592	NC_060948.1	4194	4195	0.443522	0.646947	0.653153	0.763514	0.637387	0.763514	0	1	{}	{(NC_060948.1,4195),}
S1_1534!NC_060948.1!37061319!37071291!-	507	0.75	676	NC_060948.1	2735	2736	0.484018	0.658416	0.627219	0.786982	0.627219	0.786982	0	4	{}	{(NC_060948.1,2736),(NC_060948.1,3307),(NC_060948.1,3308),(NC_060948.1,2925),}
S1_1362!NC_060948.1!16917882!16928701!-	533	0.75	710	NC_060948.1	1181	1182	0.284732	0.703002	0.388368	0.834897	0.388368	0.834897	0	1	{}	{(NC_060948.1,1182),}
S1_4706!NC_060948.1!53285578!53292735!-	387	0.75	516	NC_060948.1	5157	5158	0.587755	0.66167	0.767442	0.79845	0.744186	0.79845	0	11	{}	{(NC_060948.1,5002),(NC_060948.1,5158),(NC_060948.1,5003),(NC_060948.1,5159),(NC_060948.1,5001),(NC_060948.1,5157),(NC_060948.1,3900),(NC_060948.1,3901),(NC_060948.1,4413),(NC_060948.1,4414),(NC_060948.1,5454),}
S1_173!NC_060948.1!51736415!51744764!+	452	0.75	602	NC_060948.1	4290	4291	0.591255	0.604396	0.734513	0.734513	0.734513	0.734513	0	0	{}	{}
S1_1910!NC_060948.1!31959638!31968180!-	393	0.75	524	NC_060948.1	3040	3041	0.62306	0.659483	0.768448	0.778626	0.765903	0.778626	0	3	{}	{(NC_060948.1,3041),(NC_060948.1,3040),(NC_060948.1,4446),}
S1_3814!NC_060948.1!20860622!20869757!-	444	0.75	592	NC_060948.1	1749	1750	0.479371	0.655493	0.54955	0.792793	0.54955	0.792793	0	1	{}	{(NC_060948.1,1750),}
S1_3890!NC_060948.1!38466909!38479935!-	643	0.75	857	NC_060948.1	2240	2241	0.516092	0.70155	0.785381	0.844479	0.720062	0.844479	0	56	{}	{(NC_060948.1,2241),(NC_060948.1,2089),(NC_060948.1,2543),(NC_060948.1,2090),(NC_060948.1,2566),(NC_060948.1,2111),(NC_060948.1,2591),(NC_060948.1,2289),(NC_060948.1,2137),(NC_060948.1,2262),(NC_060948.1,2112),(NC_060948.1,2261),(NC_060948.1,2290),(NC_060948.1,2242),(NC_060948.1,2138),(NC_060948.1,2590),(NC_060948.1,2914),(NC_060948.1,2565),(NC_060948.1,2848),(NC_060948.1,2542),(NC_060948.1,2240),(NC_060948.1,2915),(NC_060948.1,2849),(NC_060948.1,2847),(NC_060948.1,3101),(NC_060948.1,2809),(NC_060948.1,2088),(NC_060948.1,2345),(NC_060948.1,3282),(NC_060948.1,2655),(NC_060948.1,2239),(NC_060948.1,2541),(NC_060948.1,2654),(NC_060948.1,2346),(NC_060948.1,3100),(NC_060948.1,2192),(NC_060948.1,2087),(NC_060948.1,2110),(NC_060948.1,3006),(NC_060948.1,2193),(NC_060948.1,3005),(NC_060948.1,3281),(NC_060948.1,2913),(NC_060948.1,3242),(NC_060948.1,2314),(NC_060948.1,2165),(NC_060948.1,2653),(NC_060948.1,2163),(NC_060948.1,2613),(NC_060948.1,2617),(NC_060948.1,2614),(NC_060948.1,2191),(NC_060948.1,2344),(NC_060948.1,2238),(NC_060948.1,1929),(NC_060948.1,3235),}
S1_518!NC_060948.1!1986958!1998193!-	588	0.75	784	NC_060948.1	124	125	0.28254	0.678521	0.316327	0.812925	0.312925	0.812925	0	1	{}	{(NC_060948.1,125),}
S1_3106!NC_060948.1!20741598!20753686!-	621	0.75	828	NC_060948.1	1243	1244	0.608516	0.674293	0.713366	0.806763	0.713366	0.806763	0	1	{}	{(NC_060948.1,1244),}
S1_921!NC_060948.1!41101802!41110915!+	405	0.75	540	NC_060948.1	3802	3803	0.561644	0.561644	0.708642	0.708642	0.708642	0.708642	0	0	{}	{}
S1_5110!NC_060948.1!47209168!47217585!-	434	0.75	578	NC_060948.1	4080	4081	0.6171	0.6171	0.764977	0.764977	0.764977	0.764977	0	7	{}	{(NC_060948.1,4081),(NC_060948.1,4080),(NC_060948.1,2773),(NC_060948.1,2774),(NC_060948.1,2827),(NC_060948.1,2965),(NC_060948.1,3279),}
S1_416!NC_060948.1!16739397!16744899!-	264	0.75	352	NC_060948.1	2359	2360	0.704698	0.704698	0.795455	0.810606	0.795455	0.810606	0	2	{}	{(NC_060948.1,2360),(NC_060948.1,2359),}
S1_1447!NC_060948.1!35745767!35755525!+	488	0.75	650	NC_060948.1	2741	2742	0.656716	0.655629	0.811475	0.811475	0.811475	0.811475	0	21	{}	{(NC_060948.1,2742),(NC_060948.1,2741),(NC_060948.1,2941),(NC_060948.1,2940),(NC_060948.1,3339),(NC_060948.1,3338),(NC_060948.1,2776),(NC_060948.1,2777),(NC_060948.1,3375),(NC_060948.1,2976),(NC_060948.1,3011),(NC_060948.1,3010),(NC_060948.1,3409),(NC_060948.1,3408),(NC_060948.1,2811),(NC_060948.1,3376),(NC_060948.1,2810),(NC_060948.1,3834),(NC_060948.1,3833),(NC_060948.1,3746),(NC_060948.1,3745),}
S1_3526!NC_060948.1!9001176!9014528!-	657	0.75	876	NC_060948.1	511	512	0.546856	0.62422	0.724505	0.761035	0.70624	0.761035	0	2	{}	{(NC_060948.1,512),(NC_060948.1,513),}
S1_895!NC_060948.1!52299784!52305361!+	264	0.75	352	NC_060948.1	7418	7419	0.45	0.652568	0.689394	0.818182	0.659091	0.818182	0	10	{}	{(NC_060948.1,7419),(NC_060948.1,7641),(NC_060948.1,7642),(NC_060948.1,8433),(NC_060948.1,8434),(NC_060948.1,8163),(NC_060948.1,7420),(NC_060948.1,8164),(NC_060948.1,8432),(NC_060948.1,8162),}
S1_2032!NC_060948.1!3578849!3589617!-	537	0.75	716	NC_060948.1	247	248	0.589661	0.651491	0.679702	0.772812	0.679702	0.772812	0	1	{}	{(NC_060948.1,248),}
S1_3167!NC_060948.1!13886006!13894604!+	446	0.75	594	NC_060948.1	1157	1158	0.219828	0.631769	0.230942	0.784753	0.2287	0.784753	0	1	{}	{(NC_060948.1,1158),}
S1_1093!NC_060948.1!38407444!38421245!+	736	0.75	981	NC_060948.1	1954	1955	0.670068	0.670068	0.802989	0.804348	0.802989	0.802989	0	68	{}	{(NC_060948.1,1955),(NC_060948.1,1954),(NC_060948.1,2219),(NC_060948.1,1822),(NC_060948.1,1823),(NC_060948.1,2218),(NC_060948.1,1843),(NC_060948.1,2240),(NC_060948.1,2545),(NC_060948.1,1866),(NC_060948.1,1999),(NC_060948.1,2544),(NC_060948.1,2262),(NC_060948.1,1865),(NC_060948.1,1998),(NC_060948.1,2241),(NC_060948.1,2220),(NC_060948.1,2320),(NC_060948.1,1842),(NC_060948.1,1916),(NC_060948.1,2709),(NC_060948.1,2627),(NC_060948.1,2261),(NC_060948.1,1915),(NC_060948.1,2263),(NC_060948.1,1844),(NC_060948.1,2867),(NC_060948.1,2626),(NC_060948.1,2239),(NC_060948.1,2710),(NC_060948.1,2487),(NC_060948.1,2282),(NC_060948.1,1953),(NC_060948.1,1888),(NC_060948.1,2049),(NC_060948.1,2050),(NC_060948.1,2285),(NC_060948.1,2018),(NC_060948.1,3084),(NC_060948.1,2281),(NC_060948.1,2017),(NC_060948.1,2625),(NC_060948.1,1957),(NC_060948.1,2708),(NC_060948.1,2021),(NC_060948.1,2288),(NC_060948.1,1890),(NC_060948.1,1891),(NC_060948.1,2831),(NC_060948.1,1887),(NC_060948.1,2866),(NC_060948.1,2284),(NC_060948.1,2825),(NC_060948.1,2865),(NC_060948.1,2832),(NC_060948.1,3124),(NC_060948.1,3123),(NC_060948.1,1914),(NC_060948.1,1913),(NC_060948.1,2048),(NC_060948.1,2453),(NC_060948.1,2047),(NC_060948.1,2624),(NC_060948.1,1864),(NC_060948.1,2707),(NC_060948.1,2317),(NC_060948.1,1975),(NC_060948.1,2451),}
S1_2207!NC_060948.1!14646640!14660145!+	658	0.75	877	NC_060948.1	827	828	0.675095	0.675095	0.81155	0.81155	0.81155	0.81155	0	2	{}	{(NC_060948.1,828),(NC_060948.1,827),}
S1_3605!NC_060948.1!17470678!17481382!+	491	0.75	654	NC_060948.1	1325	1326	0.685315	0.685315	0.800407	0.800407	0.800407	0.800407	0	2	{}	{(NC_060948.1,1326),(NC_060948.1,1325),}
S1_5457!NC_060948.1!60534463!60542897!+	390	0.75	520	NC_060948.1	5800	5801	0.613779	0.670259	0.782051	0.797436	0.782051	0.797436	0	8	{}	{(NC_060948.1,5801),(NC_060948.1,5800),(NC_060948.1,5802),(NC_060948.1,5799),(NC_060948.1,5783),(NC_060948.1,5782),(NC_060948.1,5803),(NC_060948.1,5784),}
S1_3157!NC_060948.1!47693917!47703398!+	497	0.75	662	NC_060948.1	3601	3602	0.574841	0.616013	0.758551	0.758551	0.756539	0.758551	0	9	{}	{(NC_060948.1,3602),(NC_060948.1,3598),(NC_060948.1,3213),(NC_060948.1,3601),(NC_060948.1,3209),(NC_060948.1,2605),(NC_060948.1,2474),(NC_060948.1,2508),(NC_060948.1,2867),}
S1_2162!NC_060948.1!55090427!55103835!-	713	0.75	950	NC_060948.1	2895	2896	0.589087	0.680801	0.776999	0.810659	0.761571	0.810659	0	105	{}	{(NC_060948.1,2896),(NC_060948.1,2903),(NC_060948.1,2897),(NC_060948.1,2904),(NC_060948.1,3040),(NC_060948.1,3039),(NC_060948.1,3081),(NC_060948.1,3132),(NC_060948.1,2692),(NC_060948.1,2775),(NC_060948.1,3080),(NC_060948.1,2693),(NC_060948.1,3133),(NC_060948.1,3033),(NC_060948.1,3135),(NC_060948.1,2774),(NC_060948.1,3037),(NC_060948.1,3036),(NC_060948.1,3078),(NC_060948.1,3032),(NC_060948.1,2691),(NC_060948.1,2898),(NC_060948.1,2690),(NC_060948.1,3035),(NC_060948.1,3034),(NC_060948.1,3136),(NC_060948.1,3038),(NC_060948.1,3079),(NC_060948.1,3134),(NC_060948.1,3031),(NC_060948.1,3030),(NC_060948.1,3131),(NC_060948.1,2773),(NC_060948.1,2776),(NC_060948.1,3077),(NC_060948.1,2894),(NC_060948.1,2895),(NC_060948.1,3130),(NC_060948.1,3082),(NC_060948.1,2902),(NC_060948.1,2900),(NC_060948.1,2899),(NC_060948.1,3041),(NC_060948.1,2901),(NC_060948.1,2905),(NC_060948.1,2694),(NC_060948.1,3083),(NC_060948.1,1615),(NC_060948.1,2688),(NC_060948.1,2771),(NC_060948.1,3029),(NC_060948.1,2893),(NC_060948.1,2777),(NC_060948.1,2687),(NC_060948.1,2637),(NC_060948.1,2416),(NC_060948.1,1619),(NC_060948.1,2778),(NC_060948.1,2840),(NC_060948.1,2138),(NC_060948.1,2758),(NC_060948.1,2689),(NC_060948.1,2772),(NC_060948.1,2321),(NC_060948.1,2734),(NC_060948.1,2579),(NC_060948.1,3129),(NC_060948.1,1618),(NC_060948.1,2542),(NC_060948.1,2763),(NC_060948.1,2845),(NC_060948.1,2820),(NC_060948.1,2821),(NC_060948.1,2543),(NC_060948.1,2369),(NC_060948.1,1775),(NC_060948.1,1774),(NC_060948.1,2770),(NC_060948.1,2206),(NC_060948.1,2842),(NC_060948.1,2760),(NC_060948.1,2759),(NC_060948.1,2762),(NC_060948.1,2841),(NC_060948.1,2850),(NC_060948.1,2544),(NC_060948.1,2844),(NC_060948.1,2417),(NC_060948.1,2973),(NC_060948.1,1613),(NC_060948.1,2139),(NC_060948.1,1690),(NC_060948.1,1934),(NC_060948.1,1665),(NC_060948.1,1666),(NC_060948.1,1583),(NC_060948.1,1614),(NC_060948.1,1579),(NC_060948.1,1617),(NC_060948.1,2822),(NC_060948.1,2735),(NC_060948.1,1773),(NC_060948.1,1667),(NC_060948.1,2137),(NC_060948.1,2415),}
S1_2884!NC_060948.1!34254930!34264964!-	552	0.75	736	NC_060948.1	2324	2325	0.51676	0.615499	0.713768	0.748188	0.706522	0.748188	0	0	{}	{}
S1_1014!NC_060948.1!10504326!10513286!-	438	0.75	584	NC_060948.1	896	897	0.236794	0.675522	0.296804	0.812785	0.296804	0.812785	0	1	{}	{(NC_060948.1,897),}
S1_4876!NC_060948.1!25703329!25714336!-	603	0.75	804	NC_060948.1	1587	1588	0.58745	0.667602	0.733002	0.789386	0.731343	0.789386	0	2	{}	{(NC_060948.1,1588),(NC_060948.1,1487),}
S1_3041!NC_060948.1!53039047!53052581!+	652	0.75	869	NC_060948.1	3047	3048	0.554878	0.645995	0.734663	0.766871	0.728528	0.766871	0	3	{}	{(NC_060948.1,3048),(NC_060948.1,2956),(NC_060948.1,2955),}
S1_2975!NC_060948.1!19388394!19399469!+	572	0.75	762	NC_060948.1	1262	1263	0.678519	0.678519	0.800699	0.800699	0.800699	0.800699	0	4	{}	{(NC_060948.1,1263),(NC_060948.1,1262),(NC_060948.1,1286),(NC_060948.1,1285),}
S1_5128!NC_060948.1!61262553!61270564!-	417	0.75	556	NC_060948.1	5491	5492	0.60181	0.669246	0.829736	0.829736	0.827338	0.829736	0	4	{}	{(NC_060948.1,5492),(NC_060948.1,5491),(NC_060948.1,5493),(NC_060948.1,5490),}
